version_uri,book,author_id,genre,genre_source,author_genre,admission_path,note
0521IbnMuhammadBatalyawsi.Iqtidab.Sham19Y0017681-ara1,0521IbnMuhammadBatalyawsi.Iqtidab,0521IbnMuhammadBatalyawsi,adab_prose,title,adab_prose,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0521IbnMuhammadBatalyawsi.RasailFiLugha.Sham19Y0018275-ara1,0521IbnMuhammadBatalyawsi.RasailFiLugha,0521IbnMuhammadBatalyawsi,adab_prose,title,adab_prose,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0540AbuMansurJawaliqi.SharhAdabKatib.JK010646-ara1,0540AbuMansurJawaliqi.SharhAdabKatib,0540AbuMansurJawaliqi,adab_prose,title,adab_prose,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0542IbnCaliDiyaDinIbnShajari.Amali.Sham19Y0120922-ara1,0542IbnCaliDiyaDinIbnShajari.Amali,0542IbnCaliDiyaDinIbnShajari,adab_prose,title,adab_prose,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0542IbnCaliDiyaDinIbnShajari.MaLamYunshar.Shamela0005354-ara1,0542IbnCaliDiyaDinIbnShajari.MaLamYunshar,0542IbnCaliDiyaDinIbnShajari,adab_prose,title,adab_prose,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0571IbnCasakir.AmaliFiNafyTashbih.ShamAY0033710-ara1,0571IbnCasakir.AmaliFiNafyTashbih,0571IbnCasakir,adab_prose,title,history,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0584IbnMunqidhShayzari.LubabAdab.JK010729-ara1,0584IbnMunqidhShayzari.LubabAdab,0584IbnMunqidhShayzari,adab_prose,title,adab_prose,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0597IbnJawzi.AdabHasanBasri.ShamAY0034570-ara1,0597IbnJawzi.AdabHasanBasri,0597IbnJawzi,adab_prose,title,history,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0597IbnJawzi.BirrWalidayn.JK010244-ara1,0597IbnJawzi.BirrWalidayn,0597IbnJawzi,adab_prose,tag:_AKHLAQ,history,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0597IbnJawzi.DhammHawa.JK000003-ara1,0597IbnJawzi.DhammHawa,0597IbnJawzi,adab_prose,tag:_AKHLAQ,history,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0597IbnJawzi.TadhkiraFiWacz.JK000074-ara1,0597IbnJawzi.TadhkiraFiWacz,0597IbnJawzi,adab_prose,tag:_AKHLAQ,history,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0637IbnAthirDiyaDin.MathalSair.Shamela0010551-ara1,0637IbnAthirDiyaDin.MathalSair,0637IbnAthirDiyaDin,adab_prose,title,adab_prose,standard,fallback tytulowy → adab_prose (09_DECISIONS.md §4 krok 2)
0638IbnCarabi.FutuhatMakkiyya.JK009237-ara1,0638IbnCarabi.FutuhatMakkiyya,0638IbnCarabi,adab_prose,tag:_AKHLAQ,adab_prose,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
0676Nawawi.BustanCarifin.JK009329-ara1,0676Nawawi.BustanCarifin,0676Nawawi,adab_prose,tag:_AKHLAQ,fiqh,standard,"tag OpenITI _AKHLAQ → adab_prose (data/reference/openiti_tag_genre_map.csv, 09_DECISIONS.md §4 krok 1)"
