role,version_uri,book,author_id,death_date_ah,tok_length_meta,uncorrected_ocr,url,http_ok,n_bytes,non_arabic_ratio,mean_word_length,long_line_ratio,n_markdown_chars_removed,passes_section3
random,0640AbuHafsDunaysiri.TarikhDunaysir.Shamela0026813-ara1,0640AbuHafsDunaysiri.TarikhDunaysir,0640AbuHafsDunaysiri,640.0,21690.0,False,https://raw.githubusercontent.com/OpenITI/0650AH/master/data/0640AbuHafsDunaysiri/0640AbuHafsDunaysiri.TarikhDunaysir/0640AbuHafsDunaysiri.TarikhDunaysir.Shamela0026813-ara1.mARkdown,True,217703,0.026648410423174007,4.149240551042035,0.0,9301,True
random,0584IbnMunqidhShayzari.ManazilWaDiyar.Shamela0005416-ara1,0584IbnMunqidhShayzari.ManazilWaDiyar,0584IbnMunqidhShayzari,584.0,60042.0,False,https://raw.githubusercontent.com/OpenITI/0600AH/master/data/0584IbnMunqidhShayzari/0584IbnMunqidhShayzari.ManazilWaDiyar/0584IbnMunqidhShayzari.ManazilWaDiyar.Shamela0005416-ara1.completed,True,595856,0.02474200259240944,3.8993586156428908,0.0,4622,True
random,0366IbnNajidNaysaburi.Juz.Shamela0009397-ara1,0366IbnNajidNaysaburi.Juz,0366IbnNajidNaysaburi,366.0,2834.0,False,https://raw.githubusercontent.com/OpenITI/0375AH/master/data/0366IbnNajidNaysaburi/0366IbnNajidNaysaburi.Juz/0366IbnNajidNaysaburi.Juz.Shamela0009397-ara1,True,28692,0.030685161832702867,3.9886506935687263,0.0,5428,True
random,0441IbnIflili.SharhShicrMutanabbi.ShamAY0000454-ara1,0441IbnIflili.SharhShicrMutanabbi,0441IbnIflili,441.0,66114.0,False,https://raw.githubusercontent.com/OpenITI/0450AH/master/data/0441IbnIflili/0441IbnIflili.SharhShicrMutanabbi/0441IbnIflili.SharhShicrMutanabbi.ShamAY0000454-ara1,True,686349,0.025328807474450765,4.392448254469573,0.0,9196,True
random,0241IbnHanbal.CaqidaRiwayatKhallal.JK000323-ara1,0241IbnHanbal.CaqidaRiwayatKhallal,0241IbnHanbal,241.0,4055.0,False,https://raw.githubusercontent.com/OpenITI/0250AH/master/data/0241IbnHanbal/0241IbnHanbal.CaqidaRiwayatKhallal/0241IbnHanbal.CaqidaRiwayatKhallal.JK000323-ara1,True,40171,0.055832728592162595,4.055364116701126,0.0,1540,False
random,0265CaliIbnHarbTai.HadithSufyanIbnCuyayna.Shamela0029708-ara1,0265CaliIbnHarbTai.HadithSufyanIbnCuyayna,0265CaliIbnHarbTai,265.0,6141.0,False,https://raw.githubusercontent.com/OpenITI/0275AH/master/data/0265CaliIbnHarbTai/0265CaliIbnHarbTai.HadithSufyanIbnCuyayna/0265CaliIbnHarbTai.HadithSufyanIbnCuyayna.Shamela0029708-ara1,True,61223,0.035679966576143696,3.3937153419593344,0.0,14011,True
random,0413ShaykhMufid.DhabaihAhlKitab.Shia000014-ara1,0413ShaykhMufid.DhabaihAhlKitab,0413ShaykhMufid,413.0,2311.0,False,https://raw.githubusercontent.com/OpenITI/0425AH/master/data/0413ShaykhMufid/0413ShaykhMufid.DhabaihAhlKitab/0413ShaykhMufid.DhabaihAhlKitab.Shia000014-ara1,True,24819,0.06611386688383802,4.528712059064807,0.0,1338,False
random,0449AbuCalaMacarri.RisalatSahilWaShajih.Shamela0000563-ara1,0449AbuCalaMacarri.RisalatSahilWaShajih,0449AbuCalaMacarri,449.0,63826.0,False,https://raw.githubusercontent.com/OpenITI/0450AH/master/data/0449AbuCalaMacarri/0449AbuCalaMacarri.RisalatSahilWaShajih/0449AbuCalaMacarri.RisalatSahilWaShajih.Shamela0000563-ara1,True,630124,0.027163771968236827,4.064717277264822,0.0,3852,True
random,0298HadiIlaHaqqYahya.Dacwa.Zaydiyya0000076BK26-ara1,0298HadiIlaHaqqYahya.Dacwa,0298HadiIlaHaqqYahya,298.0,5193.0,False,https://raw.githubusercontent.com/OpenITI/0300AH/master/data/0298HadiIlaHaqqYahya/0298HadiIlaHaqqYahya.Dacwa/0298HadiIlaHaqqYahya.Dacwa.Zaydiyya0000076BK26-ara1.completed,True,57500,0.03552363389304081,4.715852072105557,0.0,1853,True
random,0359AbuCaliSawwaf.Juz.Shamela0029780-ara1,0359AbuCaliSawwaf.Juz,0359AbuCaliSawwaf,359.0,5731.0,False,https://raw.githubusercontent.com/OpenITI/0375AH/master/data/0359AbuCaliSawwaf/0359AbuCaliSawwaf.Juz/0359AbuCaliSawwaf.Juz.Shamela0029780-ara1,True,55642,0.03207835712205065,3.5606060606060606,0.0,6177,True
random,0581AbuMusaMadini.MuntahaRaghabat.Shamela0030790-ara1,0581AbuMusaMadini.MuntahaRaghabat,0581AbuMusaMadini,581.0,13946.0,False,https://raw.githubusercontent.com/OpenITI/0600AH/master/data/0581AbuMusaMadini/0581AbuMusaMadini.MuntahaRaghabat/0581AbuMusaMadini.MuntahaRaghabat.Shamela0030790-ara1,True,133715,0.030508616246186393,3.4701287339082616,0.0,8919,True
random,0405CabdKarimNahshaliQayrawani.Mumtic.Sham19Y0014786-ara1,0405CabdKarimNahshaliQayrawani.Mumtic,0405CabdKarimNahshaliQayrawani,405.0,58611.0,False,https://raw.githubusercontent.com/OpenITI/0425AH/master/data/0405CabdKarimNahshaliQayrawani/0405CabdKarimNahshaliQayrawani.Mumtic/0405CabdKarimNahshaliQayrawani.Mumtic.Sham19Y0014786-ara1,True,571687,0.023826511859203037,4.015983472871588,0.0,7063,True
random,0281IbnAbiDunya.QiraDayf.Shamela0011030-ara1,0281IbnAbiDunya.QiraDayf,0281IbnAbiDunya,281.0,5289.0,False,https://raw.githubusercontent.com/OpenITI/0300AH/master/data/0281IbnAbiDunya/0281IbnAbiDunya.QiraDayf/0281IbnAbiDunya.QiraDayf.Shamela0011030-ara1.mARkdown,True,52700,0.03604223269250606,3.9401885175664098,0.0,2123,True
random,0800CabdHaqqMaghribiSabti.HusamMamdud.Shamela0037541-ara1,0800CabdHaqqMaghribiSabti.HusamMamdud,0800CabdHaqqMaghribiSabti,800.0,7021.0,False,https://raw.githubusercontent.com/OpenITI/0800AH/master/data/0800CabdHaqqMaghribiSabti/0800CabdHaqqMaghribiSabti.HusamMamdud/0800CabdHaqqMaghribiSabti.HusamMamdud.Shamela0037541-ara1,True,72272,0.04215804149292679,4.259299191374663,0.0,3116,True
random,0300Anonymous.AjwibatCulamaFazzan.ShamIbadiyya0000319-ara1,0300Anonymous.AjwibatCulamaFazzan,0300Anonymous,300.0,15100.0,False,https://raw.githubusercontent.com/OpenITI/0300AH/master/data/0300Anonymous/0300Anonymous.AjwibatCulamaFazzan/0300Anonymous.AjwibatCulamaFazzan.ShamIbadiyya0000319-ara1,True,150335,0.03789204231884735,4.183220121167615,0.0,1543,True
random,0390IbnAkhiMimiDaqqaq.Fawaid.Shamela0009564-ara1,0390IbnAkhiMimiDaqqaq.Fawaid,0390IbnAkhiMimiDaqqaq,390.0,41385.0,False,https://raw.githubusercontent.com/OpenITI/0400AH/master/data/0390IbnAkhiMimiDaqqaq/0390IbnAkhiMimiDaqqaq.Fawaid/0390IbnAkhiMimiDaqqaq.Fawaid.Shamela0009564-ara1,True,404966,0.031175081687868533,4.103251409872589,0.0,19650,True
random,0231IbnSallamJumahi.TabaqatFuhulShucara.JK001296-ara1,0231IbnSallamJumahi.TabaqatFuhulShucara,0231IbnSallamJumahi,231.0,53940.0,False,https://raw.githubusercontent.com/OpenITI/0250AH/master/data/0231IbnSallamJumahi/0231IbnSallamJumahi.TabaqatFuhulShucara/0231IbnSallamJumahi.TabaqatFuhulShucara.JK001296-ara1.mARkdown,True,528825,0.05576566254676707,3.6423142888612654,0.0,17894,False
random,0406IbnHabibNaysaburi.CuqalaMajanin.JK010625-ara1,0406IbnHabibNaysaburi.CuqalaMajanin,0406IbnHabibNaysaburi,406.0,33672.0,False,https://raw.githubusercontent.com/OpenITI/0425AH/master/data/0406IbnHabibNaysaburi/0406IbnHabibNaysaburi.CuqalaMajanin/0406IbnHabibNaysaburi.CuqalaMajanin.JK010625-ara1,True,323237,0.026389540145905777,4.024431709122816,0.0,2372,True
random,0395IbnFarisQazwini.Ittibac.JK009165-ara1,0395IbnFarisQazwini.Ittibac,0395IbnFarisQazwini,395.0,3899.0,False,https://raw.githubusercontent.com/OpenITI/0400AH/master/data/0395IbnFarisQazwini/0395IbnFarisQazwini.Ittibac/0395IbnFarisQazwini.Ittibac.JK009165-ara1,True,43368,0.05689198941544382,3.1174135935174467,0.0,1668,False
random,0392IbnJinniMawsili.Carud.JK000956-ara1,0392IbnJinniMawsili.Carud,0392IbnJinniMawsili,392.0,5465.0,False,https://raw.githubusercontent.com/OpenITI/0400AH/master/data/0392IbnJinniMawsili/0392IbnJinniMawsili.Carud/0392IbnJinniMawsili.Carud.JK000956-ara1,True,61818,0.06577147483319845,3.0953200275292496,0.0,2312,False
random,0660ShamsDinRazi.HadaiqHaqaiq.Kraken22021606121202-ara1,0660ShamsDinRazi.HadaiqHaqaiq,0660ShamsDinRazi,660.0,70477.0,True,https://raw.githubusercontent.com/OpenITI/0675AH/master/data/0660ShamsDinRazi/0660ShamsDinRazi.HadaiqHaqaiq/0660ShamsDinRazi.HadaiqHaqaiq.Kraken22021606121202-ara1,True,761198,0.11504527361007832,4.550708912918917,0.0,5460,False
